what,kind,bundleId,bundleVersion,description,time
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269044320
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403269045917
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269047031
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269047478
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269051367
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269055277
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269055804
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269059116
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403269061445
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403269062451
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403269073626
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403269102121
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269113626
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269130214
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269186937
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269285476
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403269293941
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403269295444
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269300418
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269307197
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1403269312572
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1403269312847
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1403269313036
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1403269313230
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1403269313412
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1403269313575
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403269323372
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403269332989
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269333698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269339680
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403269343116
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269343663
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269349052
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1403269357190
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1403269367385
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403269368561
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.scroll.lineDown",1403269368698
