what,kind,bundleId,bundleVersion,description,time
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403259122370
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403259131815
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259132442
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259144198
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403259145404
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1403259145622
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259147011
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259151504
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.run",1403259155309
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403259156007
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259157402
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259158744
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1403259158748
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403259158836
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259160159
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259170667
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259172183
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259173938
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259173944
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259176510
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403259178776
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403259182411
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259183246
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259185163
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259185182
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259198809
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1403259209417
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403259210266
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259210924
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259214850
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403259215907
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403259216307
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259217611
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259222947
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403259226480
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403259227986
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259236564
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259237636
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259238702
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259239639
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259240112
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259257895
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259261458
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259262889
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259265657
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259271070
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403259292710
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403259293269
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259304752
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259306972
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403259317224
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403259320655
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403259321924
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259361132
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403259420513
