what,kind,bundleId,bundleVersion,description,time
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270847377
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270864027
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403270864053
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270867769
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270869055
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403270869075
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270871140
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270872303
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403270872317
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403270873551
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403270882383
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403270883012
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270898020
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270900963
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403270900990
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403270938858
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1403270939480
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270942218
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270942443
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270942459
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270942530
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1403270942532
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1403270943953
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1403270944911
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1403270947721
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270949791
opened,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1403270951725
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270951753
activated,editor,org.eclipse.ui.browser,3.3.1.r36_20101216,"org.eclipse.ui.browser.editor",1403270951763
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270969812
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270970993
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270971005
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403270971709
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403270979042
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403271007337
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403271009576
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403271012797
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403271017423
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineStart",1403271041918
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403271051827
