what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403271962559
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1403271971224
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403271973265
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403271973931
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403271976138
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403271979073
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403271979656
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403271985371
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403271988214
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403272020883
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1403272027393
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1403272027565
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403272030203
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403272033775
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403272045710
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403272052966
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.copy",1403272054789
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403272057500
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403272059903
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403272183948
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403272187652
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403272196355
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1403272198448
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403272200651
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403272203651
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1403272205126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1403272205290
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1403272205768
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1403272208074
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403272211629
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403272215809
