what,kind,bundleId,bundleVersion,description,time
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403269760758
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403269761550
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403269765570
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269766247
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269770023
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269790554
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269796317
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269797397
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269803286
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403269807708
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269814100
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269817879
activated,view,org.eclipse.ui.views,3.5.1.M20110202-0800,"org.eclipse.ui.views.ContentOutline",1403269818001
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403269818015
started,bundle,org.eclipse.search,3.6.0.v20100520-0800,"org.eclipse.search",1403269818246
opened,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1403269818483
activated,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1403269819323
activated,editor,org.eclipse.jst.jsp.ui,1.1.503.v201101262228,"org.eclipse.jst.jsp.core.jspsource.source",1403269819336
closed,view,org.eclipse.mylyn.tasks.ui,3.4.3.v20110131-0100-e3x,"org.eclipse.mylyn.tasks.ui.views.tasks",1403269819351
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403269839583
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403269881283
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1403269885004
activated,editor,org.eclipse.wst.xml.ui,1.1.103.v201101122108,"org.eclipse.wst.xml.ui.internal.tabletree.XMLMultiPageEditorPart",1403269887507
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1403269889374
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1403269889686
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269891709
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269898510
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269901680
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269903381
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1403269915473
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403269918018
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1403269921359
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269922974
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269923790
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269923806
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269923885
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.delete",1403269923887
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.stop",1403269925940
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403269926464
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1403269926549
activated,view,org.eclipse.ui.console,3.5.0.v20100526,"org.eclipse.ui.console.ConsoleView",1403269926626
activated,view,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.ui.ServersView",1403269929381
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269931862
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269932584
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1403269934116
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269936305
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269937032
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1403269937039
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAutomatically",1403269939971
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269941581
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1403269943053
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.cleanAction",1403269943058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1403269945972
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildProject",1403269947460
executed,command,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.project.buildAutomatically",1403269949944
executed,command,org.eclipse.wst.server.ui,1.1.207.v20110119,"org.eclipse.wst.server.launchShortcut.run",1403269955681
